Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom]
Ac2O3,Ac,Ac,FALSE,element not in BV,element not in BV,1.12,1.12,cubic,-2.732,0.848,0.000,20.836,0.332,4.705,4.705,4.705,90.0,90.0,90.0,3.150
AcAgO3,Ac,Ag,FALSE,element not in BV,element not in BV,1.12,0.95,orthorhombic,-1.957,-0.055,0.000,14.485,0.000,5.779,6.077,8.248,90.0,90.0,90.0,0.817
AcAlO3,Ac,Al,FALSE,element not in BV,element not in BV,1.12,0.54,cubic,-3.532,-0.110,0.000,11.487,4.307,3.858,3.858,3.858,90.0,90.0,90.0,6.695
AcAsO3,Ac,As,FALSE,element not in BV,element not in BV,1.12,0.52,orthorhombic,-2.398,0.224,0.000,14.355,0.000,5.780,6.012,8.262,90.0,90.0,90.0,3.634
AcAuO3,Ac,Au,FALSE,element not in BV,element not in BV,1.12,0.93,orthorhombic,-2.006,-0.056,0.000,15.190,0.745,5.899,6.750,7.630,90.0,90.0,90.0,0.807
AcBO3,Ac,B,FALSE,element not in BV,element not in BV,1.12,0.27,cubic,-2.316,0.786,0.000,10.075,1.071,3.693,3.693,3.693,90.0,90.0,90.0,4.163
AcBaO3,Ac,Ba,FALSE,element not in BV,element not in BV,1.12,1.35,orthorhombic,-2.741,0.221,0.200,20.944,0.000,6.315,6.356,10.436,90.0,90.0,90.0,-1.771
AcBeO3,Ac,Be,FALSE,element not in BV,element not in BV,1.12,0.45,cubic,-2.715,0.262,0.183,10.639,0.000,3.761,3.761,3.761,90.0,90.0,90.0,-0.080
AcBiO3,Ac,Bi,FALSE,element not in BV,element not in BV,1.12,0.90,orthorhombic,-2.500,0.027,0.000,17.182,1.639,6.090,6.415,8.796,90.0,90.0,90.0,2.653
AcCaO3,Ac,Ca,FALSE,element not in BV,element not in BV,1.12,1.00,orthorhombic,-2.964,0.117,0.200,15.873,0.000,5.994,6.269,8.448,90.0,90.0,90.0,-1.025
AcCdO3,Ac,Cd,FALSE,element not in BV,element not in BV,1.12,0.95,orthorhombic,-2.224,0.061,0.000,15.094,0.000,5.840,6.199,8.338,90.0,90.0,90.0,0.264
AcCeO3,Ac,Ce,FALSE,element not in BV,element not in BV,1.12,0.94,cubic,-2.864,0.686,0.000,19.228,1.439,4.581,4.581,4.581,90.0,90.0,90.0,4.197
AcCoO3,Ac,Co,FALSE,element not in BV,element not in BV,1.12,0.63,rhombohedral,-2.426,-0.010,0.592,11.940,0.000,5.522,5.522,5.522,60.1,60.1,60.1,3.330
AcCrO3,Ac,Cr,FALSE,element not in BV,element not in BV,1.12,0.58,orthorhombic,-3.138,-0.107,0.600,12.500,1.817,5.594,5.639,7.925,90.0,90.0,90.0,5.121
AcCsO3,Ac,Cs,FALSE,element not in BV,element not in BV,1.12,1.67,tetragonal,-1.602,0.752,0.004,19.919,0.000,4.179,4.179,5.702,90.0,90.0,90.0,-1.411
AcCuO3,Ac,Cu,FALSE,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.241,-0.077,0.000,11.892,0.000,5.509,5.528,7.809,90.0,90.0,90.0,1.596
AcDyO3,Ac,Dy,FALSE,element not in BV,element not in BV,1.12,0.99,orthorhombic,-3.712,0.002,0.000,15.895,4.542,5.989,6.176,8.595,90.0,90.0,90.0,5.480
AcErO3,Ac,Er,FALSE,element not in BV,element not in BV,1.12,0.89,orthorhombic,-3.748,-0.010,0.000,15.547,4.544,5.960,6.123,8.521,90.0,90.0,90.0,5.682
AcEuO3,Ac,Eu,FALSE,element not in BV,element not in BV,1.12,1.06,orthorhombic,-3.040,0.108,0.200,16.695,0.000,6.033,6.300,8.784,90.0,90.0,90.0,-0.381
AcFeO3,Ac,Fe,FALSE,element not in BV,element not in BV,1.12,0.67,orthorhombic,-2.731,-0.116,1.000,12.687,0.906,5.630,5.655,7.970,90.0,90.0,90.0,4.135
AcGaO3,Ac,Ga,FALSE,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.914,-0.073,0.000,12.393,3.174,5.584,5.622,7.895,90.0,90.0,90.0,5.294
AcGdO3,Ac,Gd,FALSE,element not in BV,element not in BV,1.12,0.94,orthorhombic,-3.670,0.016,0.000,16.276,4.335,6.029,6.225,8.673,90.0,90.0,90.0,5.268
AcGeO3,Ac,Ge,FALSE,element not in BV,element not in BV,1.12,0.63,orthorhombic,-2.547,0.093,0.000,13.620,0.000,5.744,5.816,8.154,90.0,90.0,90.0,3.511
AcHfO3,Ac,Hf,FALSE,element not in BV,element not in BV,1.12,0.71,orthorhombic,-3.414,0.104,0.000,14.273,0.000,5.773,5.940,8.324,90.0,90.0,90.0,5.504
AcHgO3,Ac,Hg,FALSE,element not in BV,element not in BV,1.12,1.11,orthorhombic,-1.951,0.021,0.000,15.992,0.000,5.817,6.680,8.231,90.0,90.0,90.0,0.336
