,formula,chemsys_abc,phase,gfa
0,Ag20Al25La55,Ag-Al-La,AM,1
1,Ag15Al10Mg75,Ag-Al-Mg,AM,1
2,Ag25Al10Mg65,Ag-Al-Mg,AM,1
3,Ag25Al20Mg55,Ag-Al-Mg,AM,1
4,Ag35Al10Mg55,Ag-Al-Mg,AM,1
5,Ag35Al20Mg45,Ag-Al-Mg,AM,1
6,Ag45Al20Mg35,Ag-Al-Mg,AM,1
7,Ag10Ce6Cu84,Ag-Ce-Cu,AM,1
8,Ag10Ce10Cu80,Ag-Ce-Cu,AM,1
9,Ag15Ce6Cu79,Ag-Ce-Cu,AM,1
10,Ag20Ce6Cu74,Ag-Ce-Cu,AM,1
11,Ag20Ce10Cu70,Ag-Ce-Cu,AM,1
12,Ag25Ce6Cu69,Ag-Ce-Cu,AM,1
13,Ag30Ce6Cu64,Ag-Ce-Cu,AM,1
14,Ag30Ce10Cu60,Ag-Ce-Cu,AM,1
15,Ag35Ce4Cu61,Ag-Ce-Cu,AM,1
16,Ag35Ce5Cu60,Ag-Ce-Cu,AM,1
17,Ag35Ce6Cu59,Ag-Ce-Cu,AM,1
18,Ag40Ce3Cu57,Ag-Ce-Cu,AM,1
19,Ag40Ce4Cu56,Ag-Ce-Cu,AM,1
20,Ag40Ce5Cu55,Ag-Ce-Cu,AM,1
21,Ag40Ce8Cu52,Ag-Ce-Cu,AM,1
22,Ag40Ce10Cu50,Ag-Ce-Cu,AM,1
23,Ag45Ce3Cu52,Ag-Ce-Cu,AM,1
24,Ag45Ce4Cu51,Ag-Ce-Cu,AM,1
25,Ag45Ce5Cu50,Ag-Ce-Cu,AM,1
26,Ag50Ce3Cu47,Ag-Ce-Cu,AM,1
27,Ag50Ce4Cu46,Ag-Ce-Cu,AM,1
28,Ag50Ce5Cu45,Ag-Ce-Cu,AM,1
29,Ag50Ce10Cu40,Ag-Ce-Cu,AM,1
30,Ag55Ce5Cu40,Ag-Ce-Cu,AM,1
31,Ag55Ce6Cu39,Ag-Ce-Cu,AM,1
32,Ag55Ce8Cu37,Ag-Ce-Cu,AM,1
33,Ag6Ce8Cu86,Ag-Ce-Cu,AC,0
34,Ag20Ce5Cu75,Ag-Ce-Cu,AC,0
35,Ag30Ce5Cu65,Ag-Ce-Cu,AC,0
36,Ag35Ce3Cu62,Ag-Ce-Cu,AC,0
37,Ag45Ce2Cu53,Ag-Ce-Cu,AC,0
38,Ag50Ce2Cu48,Ag-Ce-Cu,AC,0
39,Ag60Ce5Cu35,Ag-Ce-Cu,AC,0
40,Ag60Ce10Cu30,Ag-Ce-Cu,AC,0
41,Ag5Ce5Cu90,Ag-Ce-Cu,CR,0
42,Ag5Ce6Cu89,Ag-Ce-Cu,CR,0
43,Ag5Ce8Cu87,Ag-Ce-Cu,CR,0
44,Ag10Ce3Cu87,Ag-Ce-Cu,CR,0
45,Ag10Ce5Cu85,Ag-Ce-Cu,CR,0
46,Ag10Ce6Cu84,Ag-Ce-Cu,CR,0
47,Ag15Ce4Cu81,Ag-Ce-Cu,CR,0
48,Ag20Ce3Cu77,Ag-Ce-Cu,CR,0
49,Ag20Ce4Cu76,Ag-Ce-Cu,CR,0
50,Ag30Ce3Cu67,Ag-Ce-Cu,CR,0
51,Ag40Ce1Cu59,Ag-Ce-Cu,CR,0
52,Ag40Ce2Cu58,Ag-Ce-Cu,CR,0
53,Ag60Ce3Cu37,Ag-Ce-Cu,CR,0
54,Ag70Ce5Cu25,Ag-Ce-Cu,CR,0
55,Ag70Ce10Cu20,Ag-Ce-Cu,CR,0
56,Ag28Cu30Fe42,Ag-Cu-Fe,AM,1
57,Ag29Cu30Fe41,Ag-Cu-Fe,AM,1
58,Ag30Cu30Fe40,Ag-Cu-Fe,AM,1
59,Ag38Cu22Fe40,Ag-Cu-Fe,AM,1
60,Ag41Cu23Fe36,Ag-Cu-Fe,AM,1
61,Ag46Cu12Fe42,Ag-Cu-Fe,AM,1
62,Ag21Cu42Fe37,Ag-Cu-Fe,AC,0
63,Ag22Cu41Fe37,Ag-Cu-Fe,AC,0
64,Ag26Cu44Fe30,Ag-Cu-Fe,AC,0
65,Ag29Cu31Fe40,Ag-Cu-Fe,AC,0
66,Ag31Cu37Fe32,Ag-Cu-Fe,AC,0
67,Ag36Cu30Fe34,Ag-Cu-Fe,AC,0
68,Ag40Cu12Fe48,Ag-Cu-Fe,AC,0
69,Ag40Cu40Fe20,Ag-Cu-Fe,AC,0
70,Ag40Cu47Fe13,Ag-Cu-Fe,AC,0
71,Ag0Cu32Fe68,Ag-Cu-Fe,CR,0
72,Ag0Cu54Fe46,Ag-Cu-Fe,CR,0
73,Ag0Cu63Fe37,Ag-Cu-Fe,CR,0
74,Ag0Cu70Fe30,Ag-Cu-Fe,CR,0
75,Ag0Cu71Fe29,Ag-Cu-Fe,CR,0
76,Ag0Cu76Fe24,Ag-Cu-Fe,CR,0
77,Ag0Cu90Fe10,Ag-Cu-Fe,CR,0
78,Ag11Cu38Fe51,Ag-Cu-Fe,CR,0
79,Ag13Cu32Fe55,Ag-Cu-Fe,CR,0
80,Ag15Cu49Fe36,Ag-Cu-Fe,CR,0
81,Ag15Cu83Fe2,Ag-Cu-Fe,CR,0
82,Ag17Cu20Fe63,Ag-Cu-Fe,CR,0
83,Ag17Cu41Fe42,Ag-Cu-Fe,CR,0
84,Ag22Cu51Fe27,Ag-Cu-Fe,CR,0
85,Ag23Cu10Fe67,Ag-Cu-Fe,CR,0
86,Ag24Cu31Fe45,Ag-Cu-Fe,CR,0
87,Ag25Cu25Fe50,Ag-Cu-Fe,CR,0
88,Ag26Cu23Fe51,Ag-Cu-Fe,CR,0
89,Ag27Cu31Fe42,Ag-Cu-Fe,CR,0
90,Ag27Cu73Fe0,Ag-Cu-Fe,CR,0
91,Ag28Cu45Fe27,Ag-Cu-Fe,CR,0
92,Ag31Cu49Fe20,Ag-Cu-Fe,CR,0
93,Ag31Cu55Fe14,Ag-Cu-Fe,CR,0
94,Ag32Cu66Fe2,Ag-Cu-Fe,CR,0
95,Ag37Cu6Fe57,Ag-Cu-Fe,CR,0
96,Ag42Cu0Fe58,Ag-Cu-Fe,CR,0
