,formula,chemsys_abc,gfa
0,Al100Ca0,Al-Ca,0
1,Al99Ca1,Al-Ca,0
2,Al98Ca2,Al-Ca,0
3,Al97Ca3,Al-Ca,0
4,Al96Ca4,Al-Ca,0
5,Al95Ca5,Al-Ca,0
6,Al94Ca6,Al-Ca,0
7,Al93Ca7,Al-Ca,0
8,Al92Ca8,Al-Ca,0
9,Al91Ca9,Al-Ca,1
10,Al90Ca10,Al-Ca,1
11,Al89Ca11,Al-Ca,1
12,Al88Ca12,Al-Ca,0
13,Al87Ca13,Al-Ca,0
14,Al86Ca14,Al-Ca,0
15,Al85Ca15,Al-Ca,0
16,Al84Ca16,Al-Ca,0
17,Al83Ca17,Al-Ca,0
18,Al82Ca18,Al-Ca,0
19,Al81Ca19,Al-Ca,0
20,Al80Ca20,Al-Ca,0
21,Al79Ca21,Al-Ca,0
22,Al78Ca22,Al-Ca,0
23,Al77Ca23,Al-Ca,0
24,Al76Ca24,Al-Ca,0
25,Al75Ca25,Al-Ca,0
26,Al74Ca26,Al-Ca,0
27,Al73Ca27,Al-Ca,0
28,Al72Ca28,Al-Ca,0
29,Al71Ca29,Al-Ca,0
30,Al70Ca30,Al-Ca,0
31,Al69Ca31,Al-Ca,0
32,Al68Ca32,Al-Ca,0
33,Al67Ca33,Al-Ca,0
34,Al66Ca34,Al-Ca,0
35,Al65Ca35,Al-Ca,0
36,Al64Ca36,Al-Ca,0
37,Al63Ca37,Al-Ca,0
38,Al62Ca38,Al-Ca,0
39,Al61Ca39,Al-Ca,0
40,Al60Ca40,Al-Ca,0
41,Al59Ca41,Al-Ca,0
42,Al58Ca42,Al-Ca,0
43,Al57Ca43,Al-Ca,0
44,Al56Ca44,Al-Ca,0
45,Al55Ca45,Al-Ca,0
46,Al54Ca46,Al-Ca,0
47,Al53Ca47,Al-Ca,0
48,Al52Ca48,Al-Ca,0
49,Al51Ca49,Al-Ca,0
50,Al50Ca50,Al-Ca,0
51,Al49Ca51,Al-Ca,0
52,Al48Ca52,Al-Ca,0
53,Al47Ca53,Al-Ca,0
54,Al46Ca54,Al-Ca,0
55,Al45Ca55,Al-Ca,0
56,Al44Ca56,Al-Ca,0
57,Al43Ca57,Al-Ca,0
58,Al42Ca58,Al-Ca,0
59,Al41Ca59,Al-Ca,0
60,Al40Ca60,Al-Ca,0
61,Al39Ca61,Al-Ca,0
62,Al38Ca62,Al-Ca,0
63,Al37Ca63,Al-Ca,0
64,Al36Ca64,Al-Ca,0
65,Al35Ca65,Al-Ca,0
66,Al34Ca66,Al-Ca,0
67,Al33Ca67,Al-Ca,0
68,Al32Ca68,Al-Ca,0
69,Al31Ca69,Al-Ca,0
70,Al30Ca70,Al-Ca,0
71,Al29Ca71,Al-Ca,0
72,Al28Ca72,Al-Ca,0
73,Al27Ca73,Al-Ca,0
74,Al26Ca74,Al-Ca,0
75,Al25Ca75,Al-Ca,0
76,Al24Ca76,Al-Ca,0
77,Al23Ca77,Al-Ca,0
78,Al22Ca78,Al-Ca,0
79,Al21Ca79,Al-Ca,0
80,Al20Ca80,Al-Ca,0
81,Al19Ca81,Al-Ca,0
82,Al18Ca82,Al-Ca,0
83,Al17Ca83,Al-Ca,0
84,Al16Ca84,Al-Ca,0
85,Al15Ca85,Al-Ca,0
86,Al14Ca86,Al-Ca,0
87,Al13Ca87,Al-Ca,0
88,Al12Ca88,Al-Ca,0
89,Al11Ca89,Al-Ca,0
90,Al10Ca90,Al-Ca,0
91,Al9Ca91,Al-Ca,0
92,Al8Ca92,Al-Ca,0
93,Al7Ca93,Al-Ca,0
94,Al6Ca94,Al-Ca,0
95,Al5Ca95,Al-Ca,0
96,Al4Ca96,Al-Ca,0
97,Al3Ca97,Al-Ca,0
98,Al2Ca98,Al-Ca,0
99,Al1Ca99,Al-Ca,0
100,Al0Ca100,Al-Ca,0
101,Al100Ca0,Al-Ca,0
102,Al99Ca1,Al-Ca,0
103,Al98Ca2,Al-Ca,0
104,Al97Ca3,Al-Ca,0
105,Al96Ca4,Al-Ca,0
106,Al95Ca5,Al-Ca,0
107,Al94Ca6,Al-Ca,0
108,Al93Ca7,Al-Ca,0
