mpid,PF_n,PF_p,S_n,S_p,formula,m_n,m_p
mp-27502,0.741,0.111,-480.0,770.0,CNCl,0.99,9.95
mp-770629,0.0501,0.159,-772.0,781.0,Li2AlFeO4,44.0,15.1
mp-27202,0.0895,0.0748,-778.0,752.0,B9H8S,19.8,25.7
mp-559608,0.988,0.00642,-415.0,777.0,K3NdSi7O17,0.493,91.4
mp-755789,0.885,0.212,-415.0,729.0,Na2Be2O3,0.557,2190.0
mp-31746,0.0134,0.0036,-671.0,690.0,Li3Cr(PO4)2,781.0,424.0
mp-754777,0.899,0.234,-392.0,742.0,NaLaO2,0.482,2.01
mp-23475,0.855,0.178,-406.0,751.0,Rb2PbCl6,0.544,2.62
mp-770427,0.00357,0.425,-880.0,723.0,BaLaCl5,1420.0,13.8
mp-557592,0.45,0.297,-608.0,679.0,CrAg(PS3)2,17.3,4.08
mp-42190,0.0744,0.243,-775.0,780.0,K2NaTiOF5,553.0,7.49
mp-5889,0.774,0.794,-607.0,713.0,Er2Ti2O7,1.34,1.31
mp-559010,0.137,0.00334,-654.0,737.0,Sb2OsC4(OF3)4,10.7,2160.0
mp-734042,0.0746,0.0457,-786.0,750.0,MgH12(NO6)2,30.3,107.0
mp-25058,0.0766,0.288,-736.0,643.0,KMoP2O7,22.1,7.15
mp-29654,0.175,0.291,-659.0,639.0,B9H11,7.26,4.64
mp-743605,0.0914,0.0143,-666.0,767.0,ZrCrCu2(PO4)3,20.5,103.0
mp-554699,1.03,0.228,-499.0,653.0,GePbO3,0.704,4.53
mp-554288,0.933,0.0288,-421.0,780.0,NaPH4O5,0.536,24.0
mp-554944,1.07,0.644,-625.0,670.0,TiSO5,31.1,7.17
mp-19581,0.179,0.267,-790.0,682.0,Mg3Cr2(SiO4)3,9.82,6.58
mp-764734,0.259,0.258,-203.0,-203.0,Mn3VSb2(PO4)6,0.609,0.612
mp-766114,0.873,0.869,-66.1,-65.3,Li4MnFe3(PO4)4,0.129,0.129
mp-646182,0.235,0.199,-607.0,606.0,Mg5V2(MoO8)2,9.32,172.0
mp-770406,0.164,0.0981,-735.0,784.0,Sm2WO6,20.1,17.4
mp-761310,0.625,0.0598,-395.0,810.0,Mn(AsO2)2,0.862,8.25
mp-763096,0.627,7.25,-749.0,507.0,VO2F,2.57,0.239
mp-640553,1.28,0.249,-543.0,669.0,BaNb2O6,6.33,16.4
mp-28711,1.51,0.527,-526.0,557.0,Sb2S2O,6.84,2.73
mp-558946,1.42,0.249,-527.0,694.0,BaSbSe2F,16.3,9.31
mp-774708,0.224,0.0973,-652.0,732.0,ZnH12C3S4(N3O2)2,6.58,15.6
mp-25500,0.0046,0.0133,-849.0,697.0,CrH17N4Cl2O3,648.0,326.0
mp-541473,0.0899,0.0535,-771.0,816.0,Sb(OF3)2,18.7,31.3
mp-504353,0.606,0.105,-645.0,752.0,LiSb(PO3)4,2.03,16.2
mp-23021,0.636,0.588,-651.0,683.0,K2ReBr6,1.88,2.03
mp-766966,0.928,0.0479,-413.0,729.0,K2InH2Cl5O,0.525,16.8
mp-680247,0.65,0.184,-564.0,592.0,K3P6S6N7,1.4,4.98
mp-626165,0.856,0.00391,-423.0,773.0,NaH9O5,0.59,165.0
mp-554315,0.745,0.0726,-455.0,770.0,CaBeB2O5,0.785,20.0
mp-32645,0.922,0.522,-457.0,555.0,Sm2S3,0.659,1.17
