formula,gfa
Ag100,0
Al100,0
Au100,0
B100,0
Be100,0
Ca1Ag99,0
Ca1Al99,0
Ca1Cu99,0
Ca1Mg99,0
Ca10Ag90,0
Ca10Al90,1
Ca10Cu90,0
Ca10Mg90,0
Ca100,0
Ca11Ag89,0
Ca11Al89,1
Ca11Cu89,0
Ca11Mg89,0
Ca12Ag88,0
Ca12Al88,0
Ca12Cu88,0
Ca12Mg88,0
Ca13Ag87,0
Ca13Al87,0
Ca13Cu87,0
Ca13Mg87,0
Ca14Ag86,0
Ca14Al86,0
Ca14Cu86,0
Ca14Mg86,0
Ca15Ag85,0
Ca15Al85,0
Ca15Cu85,0
Ca15Mg85,0
Ca16Ag84,0
Ca16Al84,0
Ca16Cu84,0
Ca16Mg84,0
Ca17Ag83,0
Ca17Al83,0
Ca17Cu83,0
Ca17Mg83,0
Ca18Ag82,0
Ca18Al82,0
Ca18Cu82,0
Ca18Mg82,0
Ca19Ag81,0
Ca19Al81,0
Ca19Cu81,0
Ca19Mg81,0
Ca2Ag98,0
Ca2Al98,0
Ca2Cu98,0
Ca2Mg98,0
Ca20Ag80,0
Ca20Al80,0
Ca20Cu80,0
Ca20Mg80,0
Ca21Ag79,0
Ca21Al79,0
Ca21Cu79,0
Ca21Mg79,0
Ca22Ag78,0
Ca22Al78,0
Ca22Cu78,0
Ca22Mg78,0
Ca23Ag77,0
Ca23Al77,0
Ca23Cu77,0
Ca23Mg77,0
Ca24Ag76,0
Ca24Al76,0
Ca24Cu76,0
Ca24Mg76,0
Ca25Ag75,0
Ca25Al75,0
Ca25Cu75,0
Ca25Mg75,0
Ca26Ag74,0
Ca26Al74,0
Ca26Cu74,0
Ca26Mg74,0
Ca27Ag73,0
Ca27Al73,0
Ca27Cu73,0
Ca27Mg73,0
Ca28Ag72,0
Ca28Al72,0
Ca28Cu72,0
Ca28Mg72,0
Ca29Ag71,0
Ca29Al71,0
Ca29Cu71,0
Ca29Mg71,0
Ca3Ag97,0
Ca3Al97,0
Ca3Cu97,0
Ca3Mg97,0
Ca30Ag70,0
Ca30Al70,0
Ca30Cu70,0
Ca30Mg70,0
Ca31Ag69,0
Ca31Al69,0
Ca31Cu69,0
Ca31Mg69,0
Ca32Ag68,0
Ca32Al68,0
Ca32Cu68,0
Ca32Mg68,0
Ca33Ag67,0
Ca33Al67,0
Ca33Cu67,0
Ca33Mg67,0
Ca34Ag66,0
Ca34Al66,0
Ca34Cu66,0
Ca34Mg66,0
Ca35Ag65,0
Ca35Al65,0
Ca35Cu65,0
Ca35Mg65,0
Ca36Ag64,0
Ca36Al64,0
Ca36Cu64,0
Ca36Mg64,0
Ca37Ag63,0
Ca37Al63,0
Ca37Cu63,0
Ca37Mg63,0
Ca38Ag62,0
Ca38Al62,0
Ca38Cu62,0
Ca38Mg62,0
Ca39Ag61,0
Ca39Al61,0
Ca39Cu61,1
Ca39Mg61,0
Ca4Ag96,0
Ca4Al96,0
Ca4Cu96,0
Ca4Mg96,0
Ca40Ag60,0
Ca40Al60,0
Ca40Cu60,1
Ca40Mg60,0
Ca41Ag59,0
Ca41Al59,0
