formula,phase,gfa
Ag20Al25La55,AM,1
Ag15Al10Mg75,AM,1
Ag25Al10Mg65,AM,1
Ag25Al20Mg55,AM,1
Ag35Al10Mg55,AM,1
Ag35Al20Mg45,AM,1
Ag45Al20Mg35,AM,1
Ag10Ce6Cu84,AM,1
Ag10Ce10Cu80,AM,1
Ag15Ce6Cu79,AM,1
Ag20Ce6Cu74,AM,1
Ag20Ce10Cu70,AM,1
Ag25Ce6Cu69,AM,1
Ag30Ce6Cu64,AM,1
Ag30Ce10Cu60,AM,1
Ag35Ce4Cu61,AM,1
Ag35Ce5Cu60,AM,1
Ag35Ce6Cu59,AM,1
Ag40Ce3Cu57,AM,1
Ag40Ce4Cu56,AM,1
Ag40Ce5Cu55,AM,1
Ag40Ce8Cu52,AM,1
Ag40Ce10Cu50,AM,1
Ag45Ce3Cu52,AM,1
Ag45Ce4Cu51,AM,1
Ag45Ce5Cu50,AM,1
Ag50Ce3Cu47,AM,1
Ag50Ce4Cu46,AM,1
Ag50Ce5Cu45,AM,1
Ag50Ce10Cu40,AM,1
Ag55Ce5Cu40,AM,1
Ag55Ce6Cu39,AM,1
Ag55Ce8Cu37,AM,1
Ag6Ce8Cu86,AC,0
Ag20Ce5Cu75,AC,0
Ag30Ce5Cu65,AC,0
Ag35Ce3Cu62,AC,0
Ag45Ce2Cu53,AC,0
Ag50Ce2Cu48,AC,0
Ag60Ce5Cu35,AC,0
Ag60Ce10Cu30,AC,0
Ag5Ce5Cu90,CR,0
Ag5Ce6Cu89,CR,0
Ag5Ce8Cu87,CR,0
Ag10Ce3Cu87,CR,0
Ag10Ce5Cu85,CR,0
Ag10Ce6Cu84,CR,0
Ag15Ce4Cu81,CR,0
Ag20Ce3Cu77,CR,0
Ag20Ce4Cu76,CR,0
Ag30Ce3Cu67,CR,0
Ag40Ce1Cu59,CR,0
Ag40Ce2Cu58,CR,0
Ag60Ce3Cu37,CR,0
Ag70Ce5Cu25,CR,0
Ag70Ce10Cu20,CR,0
Ag28Cu30Fe42,AM,1
Ag29Cu30Fe41,AM,1
Ag30Cu30Fe40,AM,1
Ag38Cu22Fe40,AM,1
Ag41Cu23Fe36,AM,1
Ag46Cu12Fe42,AM,1
