composition,Eg (eV)
Hg0.7Cd0.3Te,0.35
CuBr,3.08
LuP,1.30
Cu3SbSe4,0.40
ZnO,3.44
PtSb2,0.08
ZnIn2S4,2.68
K2Cd3Te4,2.26
K4Sn3Ce3S14,2.46
Pb6B2CrO12,1.80
InSb,0.22
Sr2Be2B2O7,8.00
K2CuNbS4,2.82
PrTe2,1.02
BAs,1.46
Ba4Ga4GeSe12,2.18
CuBr,2.94
HgSe,0.07
AgIn5Te8,0.47
Rb7Th2P6Se21,2.07
TlS,1.37
CdS,2.50
Al2Se3,3.10
In2GeTe3,0.68
BiSeBr,1.50
GaAs0.4P0.6,2.10
K2AuPS4,2.63
CsH3Se2O6,4.77
CsB3GeO7,5.76
Pb0.97Sn0.03Te,0.30
PtAs2,0.55
SnGa4S7,3.10
Si3N4,5.10
Gd1.05Sc0.95Se3,1.20
Cs2ZnGe3Se8,2.31
CeO2,3.41
KAgAsS2,2.21
Mn11Si19,0.80
SrTe,3.73
Pb0.97Se0.97Sn0.03Se0.03,0.21
LaCuOS,3.14
AlSb,1.67
Tl2AuPS4,2.20
Cs3Sn3F2Cl7,2.96
Cs1.13Cd1.13Bi2.87Se6,1.00
AgI,3.02
PtSb2,0.11
Hg0.1Zn0.9Te,1.83
TlBiTe3,0.50
CuCl,3.24
Pb0.92Sn0.08Se,0.06
CdSe,1.75
Cu3SbS4,0.75
GaAs,1.46
As2Te3,1.76
SrB6,3.68
GaN,3.25
Cd3As2,0.24
WO3,2.90
EuYb2Se4,1.30
Bi2Te2.4Se0.6,0.25
Ge0.3Si0.7,1.00
CuN3,4.17
CdP4,1.05
MnI2,4.40
InSb,0.24
TmAs,1.18
CdS,2.60
Ga0.3As0.3Zn0.7Se0.7,1.93
Cd4GdB3O10,3.80
Cd3P2,0.54
SmAs,1.03
RbSbS2,2.10
Na5GdMo4O16,3.38
Sr2V2Se3O15,2.96
UP2S7,1.41
GaAs,1.51
TaON,2.80
RbBr,7.65
PdSe2,0.40
Ba3EuP3O12,4.09
RbBr,7.25
SbSeI,1.66
KBiSe2,0.70
Bi0.4Te3Sb1.6,0.21
Na2TeSe3,1.95
Tl2Te3,0.69
Al0.74Gd3Si0.7S7,2.34
CsTbZnTe3,2.12
BaB6,2.64
La5In3S9O3,2.60
PbN6,3.02
GaN,3.24
CaO,6.97
Na2S,2.40
Rb2Cd3Te4,2.30
AgI,2.80
CdSe,1.84
SnSe,1.20
Rb2BaNb2Se11,1.53
TaZrN3,1.72
Ba3In2P4O16,3.87
In0.2P0.2Ga0.8As0.8,1.58
RbTa3Te2O12,3.88
GaTe,1.80
ZnO,3.51
Ag2SnS3,1.43
SnSe,1.30
Ba2GaErTe5,1.15
