formula,k_expt,k-units,k_condition,k_condition_units
BeS,1.57E+02,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
CdS,1.99E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
GaN,1.81E+02,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
ZnO,6.45E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
ZnSe,1.56E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
BAs,2.94E+03,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
ZnO,6.45E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
BeO,4.47E+02,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
GaAs,3.21E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
SiC,3.72E+02,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
ZnS,3.65E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
GaP,1.04E+02,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
BeO,4.47E+02,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
InAs,2.52E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
CuBr,2.75E+00,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
InP,8.52E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
ZnTe,1.89E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
CuI,7.10E+00,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
CuI,7.10E+00,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
GaSb,3.25E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
MgTe,1.47E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
CuCl,1.26E+00,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
AlSb,7.74E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
GaN,1.81E+02,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
AgI,2.44E+00,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
AlN,2.35E+02,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
AlP,8.40E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
InSb,1.38E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
BeTe,9.04E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
CdTe,6.67E+00,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
CdSe,1.14E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
CuCl,1.26E+00,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
CdS,1.99E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
BP,4.20E+02,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
SiC,3.72E+02,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
BeSe,1.08E+02,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
AlN,2.35E+02,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
CuH,1.44E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
CuBr,2.75E+00,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
InN,1.05E+02,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
AgI,2.44E+00,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
AlAs,8.68E+01,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
Ti0.99Nb0.01NiSn,5.8617,W/m$\cdot$K,400,K
Cu1.98Se,1.015,W/m$\cdot$K,1000,K
Bi2Te3,4.016716418,W/m$\cdot$K,300,K
Cr1.3Mo6S8,2.6905,W/m$\cdot$K,700,K
Bi1.2S1.2Ti2S4,2.94,W/m$\cdot$K,300,K
Ba0.4Sr0.6PbO3,2.2948,W/m$\cdot$K,300,K
SrTi0.8Nb0.2O3,8.62,W/m$\cdot$K,400,K
Mg2Si0.997Bi0.003,6.16,W/m$\cdot$K,300,K
Zn4Sb3,0.75,W/m$\cdot$K,400,K
Tl0.01Pb0.99Te,1.55169,W/m$\cdot$K,400,K
KBi6.33S10,1.3,W/m$\cdot$K,300,K
Pb1.8S1.8Ti2S4,2.51,W/m$\cdot$K,400,K
La2.74Te4,1,W/m$\cdot$K,700,K
In0.2Co4Sb12,2.47577,W/m$\cdot$K,300,K
Ba7SrAl16Si30,2.46,W/m$\cdot$K,700,K
CuCr0.96Mg0.04O2,6.8542,W/m$\cdot$K,1000,K
Tl2GeTe5,9.07,W/m$\cdot$K,300,K
Zn0.9975Al0.0025O,1.9089,W/m$\cdot$K,1000,K
Mo3Te4,3.81187,W/m$\cdot$K,300,K
SrDy0.08Ti0.92O3,4.195,W/m$\cdot$K,300,K
Ca0.9Ho0.1MnO3,1.518351106,W/m$\cdot$K,700,K
Zn0.98Al0.02O,27.2,W/m$\cdot$K,400,K
Ni2.0Mo6S8,4.2372,W/m$\cdot$K,700,K
In1.994Ge0.006O3,9.71545,W/m$\cdot$K,300,K
Sr3Ti1.6Nb0.4O7,2.14,W/m$\cdot$K,1000,K
La3Te3.35Bi0.65,1.56,W/m$\cdot$K,700,K
Zn0.9975Al0.0025O,2.283,W/m$\cdot$K,700,K
Ca3AlSb3,0.692,W/m$\cdot$K,1000,K
La2.99Te4,2.84,W/m$\cdot$K,700,K
WO2.9,3.0834,W/m$\cdot$K,300,K
SrNd0.2Ti0.8O3,5.53,W/m$\cdot$K,300,K
La3Te3.8Sb0.2,2.58,W/m$\cdot$K,400,K
Mg2Si0.993Bi0.007,5.68,W/m$\cdot$K,400,K
Sr0.61Ba0.39Nb2O6,2.0205,W/m$\cdot$K,400,K
TiNiSn,6.0761,W/m$\cdot$K,300,K
In1.8Ge0.2O3,2.61135,W/m$\cdot$K,400,K
Fe1.96Ti0.04O3,7.82,W/m$\cdot$K,300,K
Mg2Si0.999Bi0.001,3.66,W/m$\cdot$K,700,K
Ti0.99Nb0.01NiSn,6.8928,W/m$\cdot$K,300,K
Ni2.0Mo6S8,5.9752,W/m$\cdot$K,1000,K
In1.998Ge0.002O3,6.85319,W/m$\cdot$K,400,K
Zr0.5Hf0.5NiSn1.994Sb0.006,2.963660104,W/m$\cdot$K,700,K
CeFe3CoSb12,1.91,W/m$\cdot$K,300,K
Ca0.96Bi0.04Mn0.96Nb0.04O3,2.16005,W/m$\cdot$K,400,K
Mg2Si0.994Bi0.006,6.55,W/m$\cdot$K,300,K
Zn0.98Al0.02O,7.92,W/m$\cdot$K,1000,K
CuRh0.9Mg0.1O2,9.76717,W/m$\cdot$K,400,K
SrNb0.15Ti0.85O3,3.49,W/m$\cdot$K,700,K
Li0.0066Ni0.9944O,8.32761,W/m$\cdot$K,400,K
Ca5Al2Sb6,1.23,W/m$\cdot$K,400,K
BaPbO3,4.15607,W/m$\cdot$K,400,K
CaGd0.94Mn0.06O3,2.1394,W/m$\cdot$K,700,K
Pb1.8S1.8Ti2S4,1.95,W/m$\cdot$K,700,K
Ba8Au5.14Si39.51,2.45,W/m$\cdot$K,700,K
Sr3Ti1.6Nb0.4O7,3.89,W/m$\cdot$K,400,K
Ca2.97Na0.03AlSb3,0.67,W/m$\cdot$K,1000,K
Ca3AlSb3,0.745,W/m$\cdot$K,700,K
Mg2Si0.6Ge0.4Ag0.02,3.09,W/m$\cdot$K,400,K
LaFe3CoSb12,1.6,W/m$\cdot$K,400,K
Mg2Si0.98Bi0.02,2.75,W/m$\cdot$K,1000,K
Mg2Si,4,W/m$\cdot$K,400,K
Sr0.9La0.1TiO3,5.28,W/m$\cdot$K,400,K
Ba7SrAl16Si30,2.33,W/m$\cdot$K,400,K
Ca0.9Bi0.1MnO3,3.1467,W/m$\cdot$K,400,K
WO2.722,8.177,W/m$\cdot$K,300,K
SrTi0.8Nb0.2O3,6.14,W/m$\cdot$K,700,K
NaCo2O4,4.7639,W/m$\cdot$K,1000,K
Tl9BiTe6,0.481,W/m$\cdot$K,300,K
Sr0.9Y0.1TiO3,6,W/m$\cdot$K,400,K
Mo6Te6S2,2.93114,W/m$\cdot$K,700,K
Si0.8Ge0.2,2.51953,W/m$\cdot$K,400,K
ZrNi1.98Cu0.02Sn,6.795,W/m$\cdot$K,400,K
Ca4.95Na0.05Al2Sb6,0.833,W/m$\cdot$K,700,K
Si0.7956Ge0.1989P0.0055,3.72337,W/m$\cdot$K,700,K
Cr1.3Mo6S8,3.1915,W/m$\cdot$K,1000,K
Tl2SnTe5,5.09,W/m$\cdot$K,300,K
