formula,pearson symbol,space group,mpid,oqmdid,e_form expt,e_form mp,e_form oqmd
ScAg2,tI6,I4/mmm,mp-1018128,27633,-0.2809,-0.30212525,-0.30750919
ScAg,cP2,Pm-3m,mp-11237,10665,-0.2715,-0.27875396,-0.28691687
Ag51Y14,hP68,P6/m,,,-0.2301,,
YAg,cP2,Pm-3m,mp-2474,10681,-0.2778,-0.33641916,-0.34309354
Ag51La14,hP68,P6/m,,,-0.2218,,
LaAg,cP2,Pm-3m,mp-1948,10639,-0.1752,-0.26173778,-0.26489469
Ag51Ce14,hP68,P6/m,,,-0.2,,
CeAg,cP2,Pm-3m,mp-2756,10361,-0.1399,-0.03966432,-0.24419368
Ag51Pr14,hP68,P6/m,,,-0.229,,
PrAg,cP2,Pm-3m,mp-2525,10662,-0.2529,-0.24710848,-0.25770733
Ag51Nd14,hP68,P6/m,,,-0.1834,,
NdAg,cP2,Pm-3m,mp-1236,10660,-0.2052,-0.25934894,-0.26962121
ZrAg,tP4,P4/nmm,mp-11239,10690,-0.0323,-0.12296924,-0.12506091
Zr2Ag,tI6,I4/mmm,mp-2221,10691,-0.0152,-0.10909721,-0.11036623
HfAg,tP4,P4/nmm,mp-13156,20652,-0.1113,-0.11973231,-0.11913138
Al0.67Ni0.17Y0.16,oC24,Cmcm,,,-0.5597,,
YAl2Ni,oS16,Cmcm,mp-13094,10532,-0.6509,-0.64821439,-0.65212275
Al0.18Ni0.55Y0.27,cI44,Im-3m,,,-0.5027,,
Al0.8Ni0.15Y0.05,,Cmcm,,,-0.37,,
Al0.6Ni0.07Y0.33,cF24,Fd-3m,,,-0.5877,,
YAlNi,hP9,P-62m,mp-13095,27924,-0.5607,-0.59861675,-0.60450311
YAl3Ni2,hP18,P6/mmm,mp-5063,647439,-0.6509,-0.65817815,-0.66654722
Al0.25Ni0.58Y0.17,hP6,P6/mmm,,,-0.5006,,
Al0.15Ni0.68Y0.17,hP6,P6/mmm,,,-0.4902,,
Al0.05Ni0.78Y0.17,hP6,P6/mmm,,,-0.3746,,
Al0.08Ni0.67Y0.25,hP24,P63/mmc,,,-0.3928,,
HfAlNi2,cF16,Fm-3m,mp-5748,10473,-0.6032,-0.63745526,-0.64536214
Al0.82Fe0.09Ni0.09,mP22,P121/c1,,,-0.2674,,
Al0.72Fe0.14Ni0.14,,,,,-0.3804,,
Al0.18Fe0.07Ni0.75,cP4,Pm-3m,,,-0.2933,,
AlFe2Ni,cP2,Pm-3m,,,-0.2892,,
AlFeNi2,cP2,Pm-3m,,,-0.3171,,
Al3Fe3Ni4,cP2,Pm-3m,,,-0.3545,,
Al0.33Fe0.57Ni0.1,cP2,Pm-3m,,,-0.256,,
Al2Fe3Ni,cP2,Pm-3m,,,-0.3348,,
AlFeNi,cP2,Pm-3m,,,-0.4084,,
Al3Fe2Ni4,cP2,Pm-3m,,,-0.427,,
Al2FeNi3,cP2,Pm-3m,,,-0.4301,,
Al0.33Fe0.1Ni0.57,cP2,Pm-3m,,,-0.454,,
Al4Fe5Ni,cP2,Pm-3m,,,-0.2933,,
Al2Fe2Ni,cP2,Pm-3m,,,-0.3399,,
Al4Fe3Ni3,cP2,Pm-3m,,,-0.3669,,
Al2FeNi2,cP2,Pm-3m,,,-0.4436,,
Al4FeNi5,cP2,Pm-3m,,,-0.5058,,
Al5Fe4Ni,cP2,Pm-3m,,,-0.3089,,
