formula,system,processing,phase,gfa
Co8.040000Fe16.187000Zr75.773000,CoFeZr,sputtering,CR,0
Co7.831000Fe14.814000Zr77.355000,CoFeZr,sputtering,CR,0
Co7.613000Fe13.548000Zr78.839000,CoFeZr,sputtering,CR,0
Co7.387000Fe12.380000Zr80.233000,CoFeZr,sputtering,CR,0
Co7.157000Fe11.308000Zr81.535000,CoFeZr,sputtering,CR,0
Co6.923000Fe10.325000Zr82.752000,CoFeZr,sputtering,CR,0
Co6.688000Fe9.423000Zr83.890000,CoFeZr,sputtering,CR,0
Co6.452000Fe8.600000Zr84.948000,CoFeZr,sputtering,CR,0
Co6.218000Fe7.847000Zr85.935000,CoFeZr,sputtering,CR,0
Co9.220000Fe20.333000Zr70.447000,CoFeZr,sputtering,CR,0
Co9.039000Fe18.686000Zr72.275000,CoFeZr,sputtering,CR,0
Co8.841000Fe17.151000Zr74.008000,CoFeZr,sputtering,CR,0
Co8.628000Fe15.722000Zr75.650000,CoFeZr,sputtering,CR,0
Co8.404000Fe14.400000Zr77.196000,CoFeZr,sputtering,CR,0
Co8.169000Fe13.177000Zr78.654000,CoFeZr,sputtering,CR,0
Co7.928000Fe12.052000Zr80.020000,CoFeZr,sputtering,CR,0
Co7.681000Fe11.017000Zr81.301000,CoFeZr,sputtering,CR,0
Co7.431000Fe10.066000Zr82.503000,CoFeZr,sputtering,CR,0
Co7.179000Fe9.197000Zr83.624000,CoFeZr,sputtering,CR,0
Co6.927000Fe8.400000Zr84.673000,CoFeZr,sputtering,CR,0
Co6.676000Fe7.673000Zr85.651000,CoFeZr,sputtering,CR,0
Co6.427000Fe7.010000Zr86.563000,CoFeZr,sputtering,CR,0
Co10.242000Fe23.229000Zr66.529000,CoFeZr,sputtering,CR,0
Co10.087000Fe21.417000Zr68.496000,CoFeZr,sputtering,CR,0
Co9.910000Fe19.718000Zr70.372000,CoFeZr,sputtering,CR,0
Co9.713000Fe18.130000Zr72.157000,CoFeZr,sputtering,CR,0
Co9.498000Fe16.647000Zr73.855000,CoFeZr,sputtering,CR,0
Co9.269000Fe15.271000Zr75.460000,CoFeZr,sputtering,CR,0
Co9.027000Fe13.995000Zr76.978000,CoFeZr,sputtering,CR,0
Co8.775000Fe12.818000Zr78.406000,CoFeZr,sputtering,CR,0
Co8.516000Fe11.733000Zr79.750000,CoFeZr,sputtering,CR,0
Co8.252000Fe10.734000Zr81.015000,CoFeZr,sputtering,CR,0
Co7.984000Fe9.818000Zr82.199000,CoFeZr,sputtering,CR,0
Co7.714000Fe8.976000Zr83.310000,CoFeZr,sputtering,CR,0
Co7.444000Fe8.208000Zr84.349000,CoFeZr,sputtering,CR,0
Co7.175000Fe7.505000Zr85.320000,CoFeZr,sputtering,CR,0
Co6.908000Fe6.862000Zr86.231000,CoFeZr,sputtering,CR,0
Co11.282000Fe26.321000Zr62.396000,CoFeZr,sputtering,CR,0
Co11.167000Fe24.360000Zr64.473000,CoFeZr,sputtering,CR,0
Co11.023000Fe22.502000Zr66.474000,CoFeZr,sputtering,CR,0
Co10.853000Fe20.756000Zr68.390000,CoFeZr,sputtering,CR,0
Co10.660000Fe19.118000Zr70.222000,CoFeZr,sputtering,CR,0
Co10.445000Fe17.584000Zr71.971000,CoFeZr,sputtering,CR,0
Co10.213000Fe16.158000Zr73.629000,CoFeZr,sputtering,CR,0
Co9.965000Fe14.831000Zr75.205000,CoFeZr,sputtering,CR,0
Co9.705000Fe13.603000Zr76.692000,CoFeZr,sputtering,CR,0
Co9.434000Fe12.469000Zr78.097000,CoFeZr,sputtering,CR,0
Co9.156000Fe11.422000Zr79.422000,CoFeZr,sputtering,CR,0
Co8.872000Fe10.459000Zr80.668000,CoFeZr,sputtering,CR,0
Co8.585000Fe9.574000Zr81.841000,CoFeZr,sputtering,CR,0
Co8.295000Fe8.763000Zr82.941000,CoFeZr,sputtering,CR,0
Co8.006000Fe8.021000Zr83.973000,CoFeZr,sputtering,CR,0
Co7.717000Fe7.340000Zr84.943000,CoFeZr,sputtering,CR,0
Co7.430000Fe6.719000Zr85.851000,CoFeZr,sputtering,CR,0
Co12.323000Fe29.576000Zr58.101000,CoFeZr,sputtering,AM,1
Co12.260000Fe27.476000Zr60.264000,CoFeZr,sputtering,AM,1
