formula,phase,processing
Ag20Al25La55,AM,meltspin
Ag15Al10Mg75,AM,meltspin
Ag25Al10Mg65,AM,meltspin
Ag25Al20Mg55,AM,meltspin
Ag35Al10Mg55,AM,meltspin
Ag35Al20Mg45,AM,meltspin
Ag45Al20Mg35,AM,meltspin
Ag10Ce6Cu84,AM,meltspin
Ag10Ce10Cu80,AM,meltspin
Ag15Ce6Cu79,AM,meltspin
Ag20Ce6Cu74,AM,meltspin
Ag20Ce10Cu70,AM,meltspin
Ag25Ce6Cu69,AM,meltspin
Ag30Ce6Cu64,AM,meltspin
Ag30Ce10Cu60,AM,meltspin
Ag35Ce4Cu61,AM,meltspin
Ag35Ce5Cu60,AM,meltspin
Ag35Ce6Cu59,AM,meltspin
Ag40Ce3Cu57,AM,meltspin
Ag40Ce4Cu56,AM,meltspin
Ag40Ce5Cu55,AM,meltspin
Ag40Ce8Cu52,AM,meltspin
Ag40Ce10Cu50,AM,meltspin
Ag45Ce3Cu52,AM,meltspin
Ag45Ce4Cu51,AM,meltspin
Ag45Ce5Cu50,AM,meltspin
Ag50Ce3Cu47,AM,meltspin
Ag50Ce4Cu46,AM,meltspin
Ag50Ce5Cu45,AM,meltspin
Ag50Ce10Cu40,AM,meltspin
Ag55Ce5Cu40,AM,meltspin
Ag55Ce6Cu39,AM,meltspin
Ag55Ce8Cu37,AM,meltspin
Ag6Ce8Cu86,AC,meltspin
Ag20Ce5Cu75,AC,meltspin
Ag30Ce5Cu65,AC,meltspin
Ag35Ce3Cu62,AC,meltspin
Ag45Ce2Cu53,AC,meltspin
Ag50Ce2Cu48,AC,meltspin
Ag60Ce5Cu35,AC,meltspin
Ag60Ce10Cu30,AC,meltspin
Ag5Ce5Cu90,CR,meltspin
Ag5Ce6Cu89,CR,meltspin
Ag5Ce8Cu87,CR,meltspin
Ag10Ce3Cu87,CR,meltspin
Ag10Ce5Cu85,CR,meltspin
Ag10Ce6Cu84,CR,meltspin
Ag15Ce4Cu81,CR,meltspin
Ag20Ce3Cu77,CR,meltspin
Ag20Ce4Cu76,CR,meltspin
Ag30Ce3Cu67,CR,meltspin
Ag40Ce1Cu59,CR,meltspin
Ag40Ce2Cu58,CR,meltspin
Ag60Ce3Cu37,CR,meltspin
Ag70Ce5Cu25,CR,meltspin
Ag70Ce10Cu20,CR,meltspin
Ag37.5Cu37.5Ge25,AM,meltspin
Ag38.75Cu38.75Ge22.5,AM,meltspin
Ag40Cu40Ge20,AM,meltspin
Ag35Cu35Mg30,AM,meltspin
Ag7.1Cu85.2P7.7,AM,meltspin
Ag7.5Cu85.5P7,AM,meltspin
Ag8.9Cu83.5P7.6,AM,meltspin
Ag9Cu82.8P8.2,AM,meltspin
Ag9Cu84P7,AM,meltspin
Ag10.5Cu81.5P8,AM,meltspin
Ag10.5Cu81.9P7.6,AM,meltspin
Ag10.5Cu82.5P7,AM,meltspin
Ag12.2Cu80.3P7.5,AM,meltspin
Ag12.2Cu80.8P7,AM,meltspin
Ag7Cu84.5P8.5,AC,meltspin
Ag7.5Cu86P6.5,AC,meltspin
Ag9Cu84.5P6.5,AC,meltspin
Ag10.5Cu80.5P9,AC,meltspin
