formula,heusler type,num_electron,struct type,latt const,tetragonality,e_form,pol fermi,gap width,stability,mu_b,mu_b saturation
V2ScAl,Full Heusler,16,D022,5.49,1.561,0.046,0.1,No gap,FALSE,0.0002,0.03
V2ScGa,Full Heusler,16,D022,5.43,1.5893,-0.014,36.93,No gap,TRUE,0.1775,25.88
V2ScIn,Full Heusler,16,D022,5.66,1.5583,0.191,34.28,No gap,FALSE,0.1624,21.32
V2ScSi,Full Heusler,17,D022,5.34,1.5993,-0.122,19.59,No gap,TRUE,0.6638,101.12
V2ScGe,Full Heusler,17,D022,5.39,1.6104,-0.087,10.09,No gap,TRUE,0.7492,110.21
V2ScSn,Full Heusler,17,D022,5.66,1.5565,0.032,45.39,No gap,FALSE,1.0025,131.77
V2ScP,Full Heusler,18,D022,5.18,1.6911,-0.322,0,No gap,TRUE,0.0001,0.02
V2ScAs,Full Heusler,18,D022,5.31,1.6742,-0.162,0,No gap,TRUE,0.0002,0.03
V2ScSb,Full Heusler,18,L21,6.5342,0.9988,0.042,5.26,0.156,FALSE,4.1965,558.68
V2TiAl,Full Heusler,17,L21,6.16,1,-0.024,8.6,No gap,TRUE,0.7065,112.12
V2TiGa,Full Heusler,17,L21,6.1358,0.9952,-0.039,4.9,No gap,TRUE,0.6168,99.53
V2TiIn,Full Heusler,17,L21,6.3622,0.9998,0.205,18.85,No gap,FALSE,0.6805,98.04
V2TiSi,Full Heusler,18,D022,5.8997,1.059,-0.253,0.03,No gap,TRUE,0.0001,0.02
V2TiGe,Full Heusler,18,D022,5.18,1.6564,-0.219,0.02,No gap,TRUE,0.0002,0.03
V2TiSn,Full Heusler,18,D022,5.8782,1.2673,-0.014,0.02,No gap,TRUE,0.0002,0.03
V2TiP,Full Heusler,19,D022,5.04,1.6766,-0.492,0,No gap,TRUE,0,0
V2TiAs,Full Heusler,19,D022,5.177,1.6492,-0.281,0,No gap,TRUE,0,0
