M2AXphase,a,c,dMX,dMA,C11,C12,C13,C33,C44,B,G,E
Sc2AlC,3.297,15.04,1.242,2.517,175,59,33,191,44,88,57,140
Sc2AlN,3.217,14.53,1.231,2.401,213,60,48,228,72,107,77,187
Sc2SiC,3.301,13.95,1.242,2.247,203,62,48,234,74,106,76,184
Sc2SiN,3.219,13.5,1.231,2.143,231,65,74,266,96,128,89,218
Sc2PC,3.365,12.77,1.25,1.944,190,95,71,233,88,121,70,175
Sc2PN,3.403,11.89,1.236,1.737,197,89,95,277,106,137,80,200
Sc2SC,3.451,11.95,1.225,1.763,247,69,59,267,89,126,91,221
Sc2SN,3.368,11.79,1.192,1.755,261,75,78,284,109,141,101,244
Sc2GaC,3.306,14.7,1.24,2.433,174,64,37,179,40,89,53,133
Sc2GaN,3.232,14.11,1.23,2.298,214,60,57,214,70,110,75,183
Sc2GeC,3.324,14.06,1.235,2.279,200,61,48,216,68,103,72,175
Sc2GeN,3.244,13.63,1.218,2.19,229,63,67,242,84,122,84,204
Sc2AsC,3.38,13.26,1.229,2.086,186,83,66,218,76,113,66,165
Sc2AsN,3.376,12.55,1.216,1.921,152,104,106,239,92,131,57,148
Sc2CdC,3.324,15.63,1.23,2.678,152,57,27,130,12,73,36,92
Sc2CdN,3.248,15.12,1.217,2.563,173,76,37,174,15,92,40,106
Sc2InC,3.355,15.36,1.226,2.614,175,59,33,173,41,86,54,135
Sc2InN,3.279,14.9,1.202,2.524,204,60,47,199,59,102,68,167
Sc2SnC,3.38,14.87,1.211,2.507,190,58,42,181,55,93,63,154
Sc2SnN,3.306,14.48,1.184,2.437,217,60,53,220,68,110,75,184
Sc2TlC,3.375,15.31,1.221,2.607,180,54,30,166,37,84,55,135
Sc2TlN,3.304,14.86,1.193,2.523,205,62,48,192,54,102,65,162
Sc2PbC,3.411,15.1,1.198,2.577,186,57,35,160,46,87,58,142
Sc2PbN,3.342,14.68,1.166,2.504,212,61,45,186,53,101,67,165
Ti2AlC,3.071,13.73,1.147,2.286,302,62,61,269,109,138,113,267
Ti2AlN,2.999,13.63,1.165,2.243,309,66,91,280,125,155,118,281
Ti2SiC,3.057,12.85,1.179,2.034,300,81,110,314,140,169,119,288
Ti2SiN,2.99,12.83,1.188,2.019,284,108,125,359,149,183,115,285
