mpid,asr_breaking,eps_electronic,eps_total,last phdos peak,structure,formula
mp-1000,0.9473118396539814,6.311555304676412,12.773453841404539,98.58577122703691,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'lattice': {'matrix': [[4.34157255, 0.0, 2.50660808], [1.44719085, 4.09327385, 2.50660808], [0.0, 0.0, 5.01321616]], 'a': 5.013216160673185, 'b': 5.013216156734002, 'c': 5.01321616, 'alpha': 59.999999978449296, 'beta': 60.00000000444202, 'gamma': 59.999999976968624, 'volume': 89.09109455639522}, 'sites': [{'species': [{'element': 'Te', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'xyz': [2.8943817000000003, 2.046636925, 5.01321616], 'label': 'Te'}, {'species': [{'element': 'Ba', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Ba'}]}",BaTe
mp-1002124,1.7371075684718522,24.13774271142435,32.96559329678218,677.5857252533989,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'lattice': {'matrix': [[-2.52130515, -2.52130515, -0.0], [-2.52130515, 0.0, -2.52130515], [0.0, -2.52130515, -2.52130515]], 'a': 3.565663938011131, 'b': 3.565663938011131, 'c': 3.565663938011131, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 32.055771107464246}, 'sites': [{'species': [{'element': 'Hf', 'occu': 1}], 'abc': [-0.0, -0.0, -0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Hf', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'C', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'xyz': [-3.781957725, -3.781957725, -3.781957725], 'label': 'C', 'properties': {'magmom': -0.0}}]}",HfC
mp-1002164,2.422483879159356,8.111020881077835,11.16946431419497,761.5857185836483,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'lattice': {'matrix': [[2.30207728, 2.30207728, 0.0], [2.30207728, 0.0, -2.30207728], [0.0, 2.30207728, -2.30207728]], 'a': 3.2556289110069647, 'b': 3.2556289110069647, 'c': 3.2556289110069647, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 24.399992433399643}, 'sites': [{'species': [{'element': 'Ge', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Ge', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'C', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'xyz': [3.4531159199999997, 3.4531159199999997, -3.4531159199999997], 'label': 'C', 'properties': {'magmom': -0.0}}]}",GeC
mp-10044,3.3142996076505,10.032167864916383,10.128936155960776,701.5857233477558,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': None, 'lattice': {'matrix': [[2.95117784, 0.0, 1.70386332], [0.98372595, 2.78239715, 1.70386332], [0.0, 0.0, 3.40772664]], 'a': 3.407726640525688, 'b': 3.4077266407787095, 'c': 3.40772664, 'alpha': 60.000000007559144, 'beta': 60.000000005103, 'gamma': 59.99999994981319, 'volume': 27.982032094119386}, 'sites': [{'species': [{'element': 'B', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'xyz': [0.9837259475, 0.6955992875, 1.70386332], 'label': 'B', 'properties': {'magmom': 0.6}}, {'species': [{'element': 'As', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'As', 'properties': {'magmom': 0.6}}]}",BAs
mp-1008223,2.3318974226695626,3.9792006781338127,6.394042651457419,204.58576281044685,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'lattice': {'matrix': [[3.3, 3.3, 0.0], [3.3, 0.0, -3.3], [0.0, 3.3, -3.3]], 'a': 4.666904755831213, 'b': 4.666904755831213, 'c': 4.666904755831213, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 71.874}, 'sites': [{'species': [{'element': 'Ca', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Ca', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'Se', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'xyz': [4.949999999999999, 4.949999999999999, -4.949999999999999], 'label': 'Se', 'properties': {'magmom': -0.0}}]}",CaSe
mp-1008506,2.4573578520211368,18.47661784796871,23.405619845868202,1138.5856886491724,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'lattice': {'matrix': [[4.3015, 0.0, 0.0], [-2.15075, 3.725208, 0.0], [0.0, 0.0, 5.2703]], 'a': 4.3015, 'b': 4.301499762381023, 'c': 5.2703, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.00000182735626, 'volume': 84.45119345190359}, 'sites': [{'species': [{'element': 'Ba', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Ba', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'Ga', 'occu': 1}], 'abc': [0.6666, 0.3333, 0.5423], 'xyz': [2.150534925, 1.2416118263999998, 2.85808369], 'label': 'Ga', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'Si', 'occu': 1}], 'abc': [0.3334, 0.6667, 0.4555], 'xyz': [0.00021507500000006452, 2.4835961735999996, 2.40062165], 'label': 'Si', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'H', 'occu': 1}], 'abc': [0.6666, 0.3333, 0.8759], 'xyz': [2.150534925, 1.2416118263999998, 4.6162557699999995], 'label': 'H', 'properties': {'magmom': 0.0}}]}",BaGaSiH
mp-1008556,1.723841065353236,5.189262368073028,9.319101901857943,718.5857219979254,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'lattice': {'matrix': [[-2.23741407, -2.23741407, 0.0], [-2.23741407, 2.23741407, 0.0], [0.0, 0.0, -4.46733096]], 'a': 3.164181322438385, 'b': 3.164181322438385, 'c': 4.46733096, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 44.72711163804115}, 'sites': [{'species': [{'element': 'Al', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'xyz': [-2.23741407, 0.0, -2.23366548], 'label': 'Al', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'Ga', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Ga', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'N', 'occu': 1}], 'abc': [0.0, 0.5, 0.26121851], 'xyz': [-1.118707035, 1.118707035, -1.1669495370480696], 'label': 'N', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'N', 'occu': 1}], 'abc': [0.5, 0.0, 0.73878149], 'xyz': [-1.118707035, -1.118707035, -3.3003814229519306], 'label': 'N', 'properties': {'magmom': -0.0}}]}",AlGaN2
mp-1008559,4.207872045642487,9.327246359414938,9.467906406447547,795.5857158839873,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'lattice': {'matrix': [[3.20030528, 0.0, 0.0], [-1.60015264, 2.77148995, 0.0], [0.0, 0.0, 5.29809314]], 'a': 3.20030528, 'b': 3.200257023154542, 'c': 5.29809314, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.00049881231367, 'volume': 46.9920406663949}, 'sites': [{'species': [{'element': 'B', 'occu': 1}], 'abc': [0.66666931, 0.33333862, 0.50027359], 'xyz': [1.60015264, 0.9238446352768689, 2.650496075302173], 'label': 'B', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'B', 'occu': 1}], 'abc': [0.33333069, 0.66666138, 0.00027359], 'xyz': [0.0, 1.8476453147231309, 0.0014495053021726], 'label': 'B', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'P', 'occu': 1}], 'abc': [0.66666502, 0.33333004, 0.87472641], 'xyz': [1.6001526400000001, 0.9238208558930979, 4.634381992197827], 'label': 'P', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'P', 'occu': 1}], 'abc': [0.33333498, 0.66666996, 0.37472641], 'xyz': [0.0, 1.8476690941069018, 1.9853354221978274], 'label': 'P', 'properties': {'magmom': 0.0}}]}",BP
mp-10086,1.2078325997249448,6.03503780731975,15.705183486902332,339.58575209120477,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'lattice': {'matrix': [[3.79599395, 0.0, 0.0], [0.0, 3.79599395, 0.0], [0.0, 0.0, 6.88517886]], 'a': 3.79599395, 'b': 3.79599395, 'c': 6.88517886, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 99.21246721688846}, 'sites': [{'species': [{'element': 'F', 'occu': 1}], 'abc': [0.75, 0.25, 0.0], 'xyz': [2.8469954625000002, 0.9489984875, 0.0], 'label': 'F'}, {'species': [{'element': 'F', 'occu': 1}], 'abc': [0.25, 0.75, 0.0], 'xyz': [0.9489984875, 2.8469954625000002, 0.0], 'label': 'F'}, {'species': [{'element': 'S', 'occu': 1}], 'abc': [0.75, 0.75, 0.64330777], 'xyz': [2.8469954625000002, 2.8469954625000002, 4.429289058477742], 'label': 'S'}, {'species': [{'element': 'S', 'occu': 1}], 'abc': [0.25, 0.25, 0.35669223], 'xyz': [0.9489984875, 0.9489984875, 2.455889801522258], 'label': 'S'}, {'species': [{'element': 'Y', 'occu': 1}], 'abc': [0.75, 0.75, 0.22894945], 'xyz': [2.8469954625000002, 2.8469954625000002, 1.576357913148627], 'label': 'Y'}, {'species': [{'element': 'Y', 'occu': 1}], 'abc': [0.25, 0.25, 0.77105055], 'xyz': [0.9489984875, 0.9489984875, 5.308820946851373], 'label': 'Y'}]}",YSF
mp-1008680,1.6602862924983408,19.183229267187482,23.99704554037125,297.5857554260802,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': None, 'lattice': {'matrix': [[2.99535473, 2.99535473, 0.0], [2.99535473, 0.0, -2.99535473], [-0.0, 2.99535473, -2.99535473]], 'a': 4.2360712832844, 'b': 4.2360712832844, 'c': 4.2360712832844, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 53.749543633124475}, 'sites': [{'species': [{'element': 'Ti', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Ti', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'Ge', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'xyz': [2.99535473, 2.99535473, -2.99535473], 'label': 'Ge', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'Pt', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'xyz': [4.493032095, 4.493032095, -4.493032095], 'label': 'Pt', 'properties': {'magmom': -0.0}}]}",TiGePt
