formula,c,mn,si,cr,ni,mo,v,n,nb,co,w,al,ti,yield strength,tensile strength,elongation
Fe0.620C0.000953Mn0.000521Si0.00102Cr0.000110Ni0.192Mo0.0176V0.000112Nb0.0000616Co0.146Al0.00318Ti0.0185,0.02,0.05,0.05,0.01,19.7,2.95,0.01,0,0.01,15,0,0.15,1.55,2411.5,2473.5,7
Fe0.623C0.00854Mn0.000104Si0.000203Cr0.147Ni0.0000971Mo0.0179V0.00515N0.00163Nb0.0000614Co0.188W0.00729Al0.000845,0.18,0.01,0.01,13.44,0.01,3.01,0.46,0.04,0.01,19.46,2.35,0.04,0,1123.1,1929.2,8
Fe0.625Mn0.000102Si0.000200Cr0.0936Ni0.129Mo0.00480V0.000110Nb0.0000604Co0.132Al0.00812Ti0.00669,0,0.01,0.01,8.67,13.45,0.82,0.01,0,0.01,13.9,0,0.39,0.57,1736.3,1871.8,
Fe0.634C0.000478Mn0.000523Si0.00102Cr0.000111Ni0.173Mo0.0237V0.000113Nb0.0000619Co0.146Al0.00277Ti0.0176,0.01,0.05,0.05,0.01,17.7,3.95,0.01,0,0.01,15,0,0.13,1.47,2487.3,2514.9,9
Fe0.636C0.000474Mn0.000518Si0.00101Cr0.000109Ni0.188Mo0.00860V0.000112Nb0.0000612Co0.144Al0.00274Ti0.0184,0.01,0.05,0.05,0.01,19.4,1.45,0.01,0,0.01,14.9,0,0.13,1.55,2249.6,2315,8.5
Fe0.636C0.00881Mn0.000203Si0.00972Cr0.135Ni0.00892Mo0.0114V0.000109Nb0.0000600Co0.190Al0.000620,0.19,0.02,0.49,12.56,0.94,1.96,0.01,0,0.01,20.1,0,0.03,0,1328.3,1779.5,19.7
Fe0.644Mn0.000521Si0.00102Cr0.000110Ni0.177Mo0.0215V0.000112Nb0.0000617Co0.126Al0.00234Ti0.0269,0,0.05,0.05,0.01,18.1,3.6,0.01,0,0.01,13,0,0.11,2.25,2501.1,2570,3.7
Fe0.646C0.00479Mn0.00597Si0.00492Cr0.135Ni0.0000980Mo0.0534V0.000113N0.000821Nb0.0000619Co0.148Al0.000640,0.1,0.57,0.24,12.19,0.01,8.9,0.01,0.02,0.01,15.2,0,0.03,0,1228.9,1795.6,2
Fe0.648C0.000453Mn0.0000991Si0.0386Cr0.183Ni0.0195Mo0.000113V0.000107Nb0.0000586Co0.109Al0.000605Ti0.000569,0.01,0.01,1.99,17.5,2.1,0.02,0.01,0,0.01,11.8,0,0.03,0.05,1088.6,1419.3,10
Fe0.648C0.00751Mn0.000103Si0.000201Cr0.158Ni0.0000961Mo0.0288V0.00531N0.00201Nb0.0000607Co0.149Al0.000836,0.16,0.01,0.01,14.56,0.01,4.9,0.48,0.05,0.01,15.6,0,0.04,0,1502,2008.4,11.5
